idx	confidence	score	figma_filename	figma_category	match_customer	match_site	reasons	note	figma_url	catalog_id
1	MED	100	한국에너지공과대-비교과시안	기타/메인	한국에너지공과대학교	KENTECH LMS Catalog	customer "한국에너지공과대학교" in filename		https://www.figma.com/design/sRO7oy71DkbB1zD98zXdCT/	a7a464f0-f446-418d-9927-9e39e3ae3c5b
2	HIGH	180	카이스트 Online-게시판 탭	기타/메인	카이스트	KAIST Online	customer "카이스트" in filename; site "KAIST Online" in filename		https://www.figma.com/design/H2LNjec1qIkMjqlj3IJagM/	ebf1d154-8ee1-467d-8c4e-650faac72501
3	NONE	0	favicon	파비콘					https://www.figma.com/design/gPvjnHK01CV1sqxfgoyIkB/	
4	MED	115	서울대 eTL_슬라이드_20240304	슬라이드/이미지	서울대학교	서울대학교 New eTL	customer "서울대학교" in filename; 1 site-token hit(s)	경쟁 후보 점수 100 (애매)	https://www.figma.com/design/f1IXktLcy7S5cpianIVUzn/	a719ab3d-3e7f-4a45-a29e-bbbe1ed7e01e
5	MED	100	광운대 원격교육지원센터	기타/메인	광운대학교	KWMOOC	customer "광운대학교" in filename	경쟁 후보 점수 100 (애매)	https://www.figma.com/design/tW0QMLYgrHDYschcDvdMUD/	70453af0-67d3-451a-9a17-9e6c2807d839
6	MED	115	동아대학교_학습동행	기타/메인	동아대학교	동아대학교 LMS	customer "동아대학교" in filename; 1 site-token hit(s)		https://www.figma.com/design/8OskCiR2t7kuqFiQ2HinX3/	99c0d1ee-14f1-4038-ab65-ada195df8dee
7	MED	100	마산대_아이콘	아이콘	마산대학교	마산대학교 LMS	customer "마산대학교" in filename		https://www.figma.com/design/BzRhdbnYKk4saO8IoYEVVh/	2898e783-f408-4079-a61f-6d5fda86864b
8	HIGH	180	성균관대_반도체소부장-배지	배지	반도체소부장	반도체소부장 혁신융합대학	customer "반도체소부장" in filename; site "반도체소부장 혁신융합대학" in filename		https://www.figma.com/design/6Tph2u5QNv0fA1R0GAmOpX/	48b8cb1c-2952-4d9e-a7d3-10bf18a77453
9	MED	115	서정대학교 슬라이드 수정 가이드	슬라이드/이미지	서정대학교	서정대학교 LMS	customer "서정대학교" in filename; 1 site-token hit(s)		https://www.figma.com/design/Ty9FQ1xM98EPmHWIFfYCs0/	c3fc8cfb-a7b1-45ff-a12a-82d45ff19dee
10	MED	100	충북PRIDE-OG이미지	OG/대표이미지	충북PRIDE공유대학	충북권역 대학원격 교육지원센터	customer "충북PRIDE공유대학" in filename	경쟁 후보 점수 100 (애매)	https://www.figma.com/design/GujbhJ3JvRDPlup3UMQgW8/	8c280666-68e2-4458-9aa3-d4d0a83b531c
11	MED	100	서정대 로고	로고	서정대학교	서정대학교 LMS	customer "서정대학교" in filename		https://www.figma.com/design/S2URxAnjc4TmmQaRfPreEK/	c3fc8cfb-a7b1-45ff-a12a-82d45ff19dee
12	MED	100	광운대 로고	로고	광운대학교	KWMOOC	customer "광운대학교" in filename	경쟁 후보 점수 100 (애매)	https://www.figma.com/design/z5izeDD7gNRzspFiFWFZqR/	70453af0-67d3-451a-9a17-9e6c2807d839
13	MED	115	OG-img_KAIST	OG/대표이미지	카이스트	KAIST Online	customer "카이스트" in filename; 1 site-token hit(s)	경쟁 후보 점수 100 (애매)	https://www.figma.com/design/ebUhNBU1QBtOj9jg2lr3CC/	ebf1d154-8ee1-467d-8c4e-650faac72501
14	MED	100	충북PRIDE공유대학 로고	로고	충북PRIDE공유대학	충북권역 대학원격 교육지원센터	customer "충북PRIDE공유대학" in filename	경쟁 후보 점수 100 (애매)	https://www.figma.com/design/SnJAV0AOxc5F8YqmBpvuTj/	8c280666-68e2-4458-9aa3-d4d0a83b531c
15	NONE	0	ai-chat-floating-icon	아이콘					https://www.figma.com/design/bBhBZV5tkZSdJrqlpMYsOG/	
